"","date_time","vwc10cm","vwc20","vwc35","vwc50"
"248","02.07.2010 21:00",0.28,0.349,0.342,0.315
"249","02.07.2010 22:00",0.28,0.349,0.343,0.314
"250","02.07.2010 23:00",0.28,0.349,0.343,0.313
"251","03.07.2010 00:00",0.279,0.349,0.343,0.312
"252","03.07.2010 01:00",0.279,0.349,0.343,0.311
"253","03.07.2010 02:00",0.279,0.348,0.342,0.31
"254","03.07.2010 03:00",0.279,0.348,0.342,0.31
"255","03.07.2010 04:00",0.279,0.348,0.342,0.31
"256","03.07.2010 05:00",0.279,0.348,0.342,0.309
"257","03.07.2010 06:00",0.279,0.348,0.342,0.308
"258","03.07.2010 07:00",0.279,0.348,0.342,0.307
"259","03.07.2010 08:00",0.278,0.348,0.342,0.306
"260","03.07.2010 09:00",0.278,0.347,0.341,0.306
"261","03.07.2010 10:00",0.278,0.347,0.341,0.306
"262","03.07.2010 11:00",0.278,0.347,0.341,0.306
"263","03.07.2010 12:00",0.277,0.346,0.34,0.306
"264","03.07.2010 13:00",0.277,0.347,0.341,0.306
"265","03.07.2010 14:00",0.277,0.346,0.34,0.306
"266","03.07.2010 15:00",0.277,0.346,0.34,0.306
"267","03.07.2010 16:00",0.277,0.346,0.341,0.305
"268","03.07.2010 17:00",0.277,0.346,0.341,0.305
"269","03.07.2010 18:00",0.276,0.346,0.341,0.304
"270","03.07.2010 19:00",0.276,0.346,0.341,0.303
"271","03.07.2010 20:00",0.275,0.346,0.341,0.302
"272","03.07.2010 21:00",0.274,0.346,0.341,0.301
"273","03.07.2010 22:00",0.274,0.346,0.341,0.3
"274","03.07.2010 23:00",0.273,0.345,0.341,0.299
"275","04.07.2010 00:00",0.274,0.346,0.341,0.299
"276","04.07.2010 01:00",0.274,0.345,0.341,0.298
"277","04.07.2010 02:00",0.273,0.346,0.34,0.297
"278","04.07.2010 03:00",0.274,0.345,0.34,0.296
"279","04.07.2010 04:00",0.273,0.346,0.34,0.296
"280","04.07.2010 05:00",0.273,0.345,0.34,0.295
"281","04.07.2010 06:00",0.273,0.346,0.34,0.295
"282","04.07.2010 07:00",0.273,0.345,0.34,0.295
"283","04.07.2010 08:00",0.273,0.345,0.34,0.294
"284","04.07.2010 09:00",0.273,0.345,0.34,0.293
"285","04.07.2010 10:00",0.273,0.345,0.34,0.293
"286","04.07.2010 11:00",0.273,0.345,0.339,0.293
"287","04.07.2010 12:00",0.273,0.344,0.339,0.292
"288","04.07.2010 13:00",0.273,0.344,0.339,0.292
"289","04.07.2010 14:00",0.272,0.344,0.339,0.292
"290","04.07.2010 15:00",0.272,0.344,0.339,0.292
"291","04.07.2010 16:00",0.272,0.344,0.339,0.291
"292","04.07.2010 17:00",0.272,0.344,0.339,0.289
"293","04.07.2010 18:00",0.272,0.344,0.339,0.288
"294","04.07.2010 19:00",0.271,0.344,0.339,0.286
"295","04.07.2010 20:00",0.271,0.344,0.34,0.284
"296","04.07.2010 21:00",0.271,0.344,0.339,0.284
"297","04.07.2010 22:00",0.271,0.343,0.339,0.283
"298","04.07.2010 23:00",0.271,0.344,0.339,0.282
"299","05.07.2010 00:00",0.271,0.344,0.339,0.28
"300","05.07.2010 01:00",0.271,0.344,0.339,0.28
"301","05.07.2010 02:00",0.27,0.344,0.339,0.279
"302","05.07.2010 03:00",0.271,0.343,0.339,0.278
"303","05.07.2010 04:00",0.27,0.344,0.338,0.278
"304","05.07.2010 05:00",0.27,0.343,0.338,0.277
"305","05.07.2010 06:00",0.27,0.343,0.337,0.276
"306","05.07.2010 07:00",0.27,0.343,0.337,0.275
"307","05.07.2010 08:00",0.27,0.343,0.336,0.275
"308","05.07.2010 09:00",0.27,0.343,0.336,0.275
"309","05.07.2010 10:00",0.27,0.342,0.336,0.275
"310","05.07.2010 11:00",0.27,0.342,0.336,0.273
"311","05.07.2010 12:00",0.27,0.342,0.336,0.273
"312","05.07.2010 13:00",0.27,0.342,0.336,0.273
"313","05.07.2010 14:00",0.27,0.342,0.335,0.272
"314","05.07.2010 15:00",0.269,0.342,0.335,0.271
